,logFC,logCPM,PValue,adjsutedPValue
AT4G30200,-0.442830169573885,5.24596345910903,0.041377443904313,0.0748603855633256
AT4G30210,-0.319570077752454,4.91022700898891,0.145355904506995,0.219296302481065
AT4G30220,1.79968778090235,7.34749003203631,2.76331713177328e-17,1.48462422135907e-15
AT4G30230,-5.40802270505515,-2.3586316305857,0.0656324289880646,0.111522347245881
AT4G30240,1.16593947177057,3.23576452854175,2.76181837084076e-06,1.42196267016143e-05
AT4G30250,-0.877212933881098,6.33386127819543,3.43489669403185e-05,0.000140529547485861
AT4G30260,0.382625445051492,4.76154024755442,0.082642783207586,0.136705248283913
AT4G30270,-0.128213665300079,2.33307681593529,0.678359500872601,0.788942080669765
AT4G30280,-6.17140287116709,-1.8442628463325,0.00464265501031792,0.0110431480633605
AT4G30290,0.367778486851642,0.886319761772485,0.385042674970773,0.499907104272246
AT4G30310,-1.24031151220061,2.82725300896496,5.10042632252916e-06,2.48507246144691e-05
AT4G30330,1.55579946519064,5.41937063953438,1.29538565431959e-12,2.7109337493351e-11
AT4G30340,-1.14988253746314,1.81476732067237,0.000477304284387437,0.00147826417831283
AT4G30350,-0.644238435148484,3.12550681201793,0.0117164574674192,0.0250031500814868
AT4G30360,0.000195617194015494,3.82402490185346,1,1
AT4G30370,2.55033752359032,0.220523958490478,2.2680298716476e-07,1.48106057651068e-06
AT4G30390,-0.84631132376142,1.68419190898327,0.0113359169974358,0.0242664822310427
AT4G30400,0.625965094343455,2.14793934147482,0.0320531461988173,0.0603182182557858
AT4G30410,-8.47722789737136,0.0209697245834235,1.05253079318445e-09,1.15699407951151e-08
AT4G30420,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT4G30430,2.57570184399913,-1.67510534677143,0.0160840661396549,0.0329447491939575
AT4G30440,1.26807572915276,5.92629643788927,3.01973952505908e-09,3.0093313525464e-08
AT4G30450,2.79868928824223,0.72987927343403,8.05309936126832e-11,1.13000514281296e-09
AT4G30460,1.34887644502561,1.06945960284188,0.000206367757006395,0.000697435418710939
AT4G30470,1.42792975989228,3.21761163203464,1.31824150718998e-08,1.13285251775489e-07
AT4G30480,-0.728141850475344,4.02134007165107,0.00180429561917674,0.00485579815502629
AT4G30490,-1.54644893320814,2.02097169451429,1.61209584742393e-06,8.72947120534584e-06
AT4G30500,-0.084775876220071,1.90244825747419,0.793744988501358,0.894586468550486
AT4G30510,0.74199340487913,1.66281152508417,0.0223202133646858,0.0437017168738845
AT4G30520,-0.0490593134403605,3.80846416321113,0.847482050302441,0.943119050819632
AT4G30530,0.788663222845402,6.21530284366191,0.000185888503248724,0.000637340298078866
AT4G30540,-6.17140287116709,-1.8442628463325,0.00464265501031792,0.0110431480633605
AT4G30550,0.904303324897523,4.49270526779659,5.68423936274827e-05,0.000220330703399242
AT4G30560,-0.409525554587849,2.87338236341324,0.125457779831696,0.197015425125412
AT4G30570,-6.82697431768911,-1.35108504701344,0.00141036427163769,0.00388742567500614
AT4G30580,1.17683885507594,3.87562235219775,5.59156322344135e-07,3.36904333073486e-06
AT4G30600,-0.359496565144039,5.51081402869869,0.0942905689984392,0.153329457794102
AT4G30610,-1.35119115188106,2.92502808209449,5.69770352838209e-07,3.42080156646634e-06
AT4G30620,-0.134241270742915,3.36624372421973,0.59777898133514,0.711223961008088
AT4G30630,0.814616720967464,1.77030963988899,0.00857343012599822,0.0190719329407456
AT4G30640,-5.59641427199617,-2.23870582777624,0.0336166099694965,0.0622160690196004
AT4G30650,2.27094506276849,6.73929491774012,1.45656716280263e-25,4.63863867180072e-23
AT4G30660,1.95011549246354,6.10639157115313,4.18871059155443e-19,3.39641057338808e-17
AT4G30662,1.66662654078042,5.00232704941938,7.90244421341247e-14,2.11766230665275e-12
AT4G30670,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT4G30680,-1.14059548916133,0.580105065739813,0.0151305719418261,0.0312480439708352
AT4G30690,-0.206015500928318,2.01262627886668,0.522269546191749,0.636620125812253
AT4G30700,-0.385878067652357,2.6663225717795,0.156714740977936,0.234341593620222
AT4G30710,-0.986708886759369,2.46847091727727,0.000528237221406426,0.00162206326204371
AT4G30720,0.117223088469928,3.49488758975424,0.640487178158837,0.752221552798626
AT4G30730,-0.205220529662503,-0.0087029546755463,0.793446011747166,0.89434124966054
AT4G30740,0.244019562326706,-1.85712974110933,1,1
AT4G30750,-0.144784775482965,3.26013386797976,0.574895264135784,0.688996374917902
AT4G30760,1.30606553616208,5.10197532644217,2.78862660528064e-09,2.80445222079802e-08
AT4G30780,-0.79889715496235,3.0847902365392,0.00206574501518845,0.00549082871219923
AT4G30790,-1.13521516452898,3.17028632468791,1.34124504004216e-05,6.01111941870008e-05
AT4G30800,0.630396580872889,5.26546144648382,0.00348834553705809,0.00867310532148841
AT4G30810,-0.231414760090224,5.11222540451378,0.291885806694618,0.395114810343593
AT4G30820,-2.05395977086864,0.248350895254082,0.000153407569884128,0.000533889442609096
AT4G30825,-0.62195663735873,2.43876953691955,0.0275998100394544,0.0527005757566016
AT4G30830,-6.82697431768911,-1.35108504701344,0.00141036427163769,0.00388742567500614
AT4G30840,0.887019147480215,4.0009786786686,0.000119959517886464,0.000430155098896403
AT4G30845,2.16143506429649,1.46060913946326,6.13964089542502e-10,7.16095907834764e-09
AT4G30850,-0.100733142389868,4.00236082532227,0.664314410835239,0.775274569212042
AT4G30860,-0.88100968398177,2.44191869668231,0.00213977548796786,0.0056745627048764
AT4G30870,0.700489749550792,3.13660824636415,0.00507900089948153,0.011972319863249
AT4G30890,-0.219648601478607,5.31483780017677,0.310539310398174,0.416338670328827
AT4G30900,0.997075453021763,2.60346979890711,0.000204753361827092,0.000692725230606394
AT4G30910,0.321216279236123,3.23716135665716,0.195238028866149,0.282507602153612
AT4G30920,-0.0229455134037653,5.41183928663599,0.919901820319984,1
AT4G30930,0.79410989041695,5.58710643783179,0.000207889147719083,0.000700744919769771
AT4G30935,-2.05482711508541,3.29712629348326,3.11707021608985e-14,9.15701884068962e-13
AT4G30940,0.684714797318479,1.41795615413757,0.0490290044651634,0.0871159815733403
AT4G30950,0.413485866011342,5.70824571742497,0.0520994477385534,0.0919544790848973
AT4G30960,-0.295035560908451,5.14709329359244,0.174827336149927,0.25720781230306
AT4G30975,1.52132012927571,2.33365704424486,1.16513798572422e-07,8.02342278229522e-07
AT4G30980,-0.132049799951097,1.6025478767441,0.76016612651932,0.863696507969779
AT4G30990,-1.0444276227554,4.74641608681877,3.46952878881627e-06,1.75828933591902e-05
AT4G30993,1.51177083917625,4.2309670030451,6.39995509193833e-11,9.18567035860568e-10
AT4G30996,0.506907146588831,4.58097310713345,0.0224503361560064,0.0439330026442323
AT4G31000,-3.35078893172519,-0.284512395443537,3.3554454721108e-05,0.000137509434547115
AT4G31010,0.169395015594535,3.21222551046824,0.496524749525753,0.616577043307029
AT4G31020,-1.63935092546399,3.05822797104799,1.67326103733892e-09,1.77110973191163e-08
AT4G31040,0.173538779419943,4.99323636804985,0.430700904608682,0.55059757274252
AT4G31050,1.56087026954272,2.5712453395034,1.51694224688799e-08,1.28749667567079e-07
AT4G31060,1.71427636973272,-0.0310215044334882,0.000612799335442357,0.00185375173416993
AT4G31070,0.338359812332471,-0.388147171913484,0.646180806147096,0.757531852020715
AT4G31080,0.135145014932307,3.35565346354304,0.595353693087992,0.708952585049343
AT4G31100,-5.59641427199617,-2.23870582777624,0.0336166099694965,0.0622160690196004
AT4G31110,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT4G31115,-0.0240662862349413,0.634575582059335,1,1
AT4G31120,0.564959519130972,5.82390676921055,0.00779662095142664,0.0175950445503388
AT4G31130,-0.0572220732509743,4.13417647917076,0.819417580254955,0.918015171997856
AT4G31140,0.438924215880454,4.31556021951546,0.0516477500747528,0.0912378535366685
AT4G31150,0.822073437577699,1.71040316582664,0.00986624478242393,0.0213934145301937
AT4G31160,-0.270751798726613,4.83998918605206,0.220958728891778,0.314995919856489
AT4G31170,-0.506716417737826,4.33969965424402,0.0262072764022535,0.0503963150138372
AT4G31180,0.263619363057838,6.53395089848681,0.2078969473468,0.298388472958757
AT4G31190,0.636322306031647,-0.72882649029757,0.376637606879912,0.490879879808967
AT4G31200,-0.179287843411913,3.85322827542241,0.454231860683482,0.575589118658603
AT4G31210,-0.725469055044053,3.79710502186817,0.00225316906316014,0.00595730200864888
